Atualizado em: 2024-06-20
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Portaria de Registro;Link Portaria;LATGEOPOINT;LONGEOPOINT
SI8V;AM0101;FAZENDA MANU;LÁBREA;AM;065°42'54"W;09°24'14"S;,0;VFR;Sem Operação;02/20;1200,0000;18,00;5700 Kg /   0,50 MPa;Cascalho;02/20;1200,0000;18,00;5700 Kg /   0,50 MPa;Cascalho;PA2022-8592;https://pergamum.anac.gov.br/arquivos/PA2022-8592.pdf;-9,4038889;-65,715
SN33;AM0095;Estância Buriti;AUTAZES;AM;059°46'38"W;03°32'40"S;31,0;VFR;Sem Operação;14/32;500,0000;18,00;5700 Kg /   0,50 MPa;Terra;14/32;500,0000;18,00;5700 Kg /   0,50 MPa;Terra;PA2022-9754;https://pergamum.anac.gov.br/arquivos/PA2022-9754.pdf;-3,5444444;-59,777222
SSVC;MS0533;Fazenda Vazante;AQUIDAUANA;MS;056°09'42"W;20°03'48"S;124,0;VFR / IFR;VFR / IFR;11/29;600,0000;20,00;5700 Kg /   0,50 MPa;Grama;15/33;2100,0000;45,00;44/F/B/X/T;Asfalto;PA2002-2077;https://pergamum.anac.gov.br/arquivos/PA2002-2077.pdf;-20,063333;-56,161667
SJ4S;PR0191;Fazenda Candoara;CANDÓI;PR;052°15'32"W;25°40'41"S;723,0;VFR;VFR;08/26;650,0000;16,00;5600 Kg /   1,50 MPa;Cascalho;08/26;650,0000;16,00;5600 Kg /   1,50 MPa;Cascalho;PA2022-8572;https://pergamum.anac.gov.br/arquivos/PA2022-8572.pdf;-25,678056;-52,258889
SBGP;SP0075;EMBRAER - Unidade Gavião Peixoto;GAVIÃO PEIXOTO;SP;048°24'17"W;21°45'52"S;609,0;;;02R/20;3000,0000;45,00;57/F/A/X/T;Asfalto;02L/20;1800,0000;30,00;30/F/A/Y/T;Terra;PA2021-5749;https://pergamum.anac.gov.br/arquivos/PA2021-5749.pdf;-21,764444;-48,404722
SJ37;MA0139;Fazenda Colina Verde;COLINAS;MA;044°09'37"W;06°15'21"S;456,0;VFR;Sem Operação;14/32;1200,0000;20,00;5700 Kg /   0,50 MPa;Piçarra;14/32;1200,0000;20,00;5700 Kg /   0,50 MPa;Piçarra;PA2022-8667;https://pergamum.anac.gov.br/arquivos/PA2022-8667.pdf;-6,2558333;-44,160278
SNIH;MS0209;Fazenda Rio Negro;AQUIDAUANA;MS;056°14'38"W;19°34'11"S;109,0;VFR;Sem Operação;12/30;900,0000;18,00;6/F/B/X/U;Grama;01/19;800,0000;18,00;6/F/B/X/U;Grama;PA2022-8046;https://pergamum.anac.gov.br/arquivos/PA2022-8046.pdf;-19,569722;-56,243889
SN88;MS0711;FAZENDA CORDILHEIRA;MIRANDA;MS;056°53'07"W;19°57'13"S;146,0;VFR;Sem Operação;01/19;1000,0000;18,00;5700 Kg /   0,50 MPa;Grama;01/19;1000,0000;18,00;5700 Kg /   0,50 MPa;Grama;PA2023-12.220;https://pergamum.anac.gov.br/arquivos/PA2023-12.220.pdf;-19,953611;-56,885278
SNQT;PR0067;Fazenda Estrela do Sul;UMUARAMA;PR;053°28'57"W;23°47'18"S;369,0;VFR;Sem Operação;14/32;850,0000;30,00;5000 Kg /   0,50 MPa;Grama;15/33;700,0000;20,00;5000 Kg /   0,50 MPa;Grama;PA2023-11.715;https://pergamum.anac.gov.br/arquivos/PA2023-11.715.pdf;-23,788333;-53,4825
SI8N;MG0506;AERÓDROMO FAZENDA ÁGUA BOA;UNIÃO DE MINAS;MG;050°17'30"W;19°16'22"S;,0;VFR;Sem Operação;04/22;1100,0000;23,00;5400 Kg /   0,50 MPa;Terra;04/22;1100,0000;23,00;5400 Kg /   0,50 MPa;Terra;PA2022-8486;https://pergamum.anac.gov.br/arquivos/PA2022-8486.pdf;-19,272778;-50,291667
